,title,href,company,compensation1,compensation2,money_type,source
72,Помощник программиста 1С,https://www.superjob.ru/vakansii/pomoschnik-programmista-1s-32387270.html,Эксперт-Спецодежда,60000,70000,руб,superjob.ru
73,Программист микроконтроллеров в г. Красногорск,https://www.superjob.ru/vakansii/programmist-mikrokontrollerov-v-g-32875619.html,ВИЗАВИ Консалт,100000,110000,руб,superjob.ru
74,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-27396012.html,Charuel,,,,superjob.ru
75,Инженер-программист станков с ЧПУ / Оператор-программист ЧПУ TruPuch 1000,https://www.superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-32517168.html,АлПлант,65000,,руб,superjob.ru
76,Программист Delphi,https://www.superjob.ru/vakansii/programmist-delphi-30237589.html,Центр Долевого Строительства,,,,superjob.ru
77,"Веб-программист, веб-разработчик",https://www.superjob.ru/vakansii/veb-programmist-32664206.html,Риксап,120000,,руб,superjob.ru
78,Программист PHP,https://www.superjob.ru/vakansii/programmist-php-31614732.html,ГБУК ЦБС САО,40000,,руб,superjob.ru
79,Программист-консультант 1C,https://www.superjob.ru/vakansii/programmist-konsultant-1c-32151301.html,Daewoo Power Products,100000,,руб,superjob.ru
80,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-32467783.html,Стаффмикс,,,,superjob.ru
81,Программист / Разработчик Front-end,https://www.superjob.ru/vakansii/programmist-30777796.html,Директ Кредит,,,,superjob.ru
82,Программист Java (OS Android),https://www.superjob.ru/vakansii/programmist-java-32663703.html,Стечкинлаб,20000,,руб,superjob.ru
83,Программист 1С / Разработчик 1С,https://www.superjob.ru/vakansii/programmist-1s-32675643.html,SUNLIGHT,150000,,руб,superjob.ru
84,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-31043425.html,КОСМИК - парки развлечений,,,,superjob.ru
85,Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-31819336.html,Национальная электротехническая компания Морозова,120000,150000,руб,superjob.ru
86,Программист,https://www.superjob.ru/vakansii/programmist-30736873.html,Государственный Дарвиновский музей,30000,60000,руб,superjob.ru
